"","GEO.id2","ESTAB"
"7","06001","36"
"422","06002","33"
"764","06006","1"
"783","06010","89"
"1361","06011","1"
"1391","06013","5"
"1485","06016","4"
"1543","06018","12"
"1694","06019","48"
"2081","06020","1"
"2098","06022","2"
"2149","06023","3"
"2271","06026","12"
"2402","06029","15"
"2646","06031","1"
"2704","06032","106"
"3245","06033","53"
"3703","06035","15"
"3947","06037","40"
"4340","06039","2"
"4428","06040","138"
"5096","06042","41"
"5507","06043","6"
"5643","06045","2"
"5689","06051","32"
"6119","06053","29"
"6374","06057","5"
"6474","06058","2"
"6520","06062","37"
"6888","06063","4"
"7034","06066","57"
"7551","06067","35"
"7913","06068","2"
"8021","06069","3"
"8160","06070","15"
"8462","06071","5"
"8659","06072","1"
"8677","06073","4"
"8762","06074","68"
"9229","06075","2"
"9268","06076","17"
"9543","06078","8"
"9682","06080","1"
"9716","06082","94"
"10331","06083","2"
"10361","06084","12"
"10597","06085","6"
"10726","06088","31"
"11023","06089","4"
"11074","06091","3"
"11113","06092","7"
"11232","06095","30"
"11576","06096","17"
"11774","06098","16"
"12030","06103","7"
"12247","06105","12"
"12451","06106","36"
"12927","06107","36"
"13288","06108","39"
"13684","06109","48"
"14129","06110","51"
"14599","06111","74"
"15085","06112","7"
"15282","06114","36"
"15642","06117","20"
"15900","06118","25"
"16161","06119","21"
"16419","06120","24"
"16693","06126","1"
"16708","06127","1"
"16724","06131","1"
"16751","06134","1"
"16786","06156","2"
"16804","06226","37"
"17194","06232","2"
"17240","06234","12"
"17436","06235","2"
"17488","06237","6"
"17592","06238","8"
"17718","06239","19"
"18002","06241","19"
"18278","06242","2"
"18373","06247","1"
"18402","06248","5"
"18543","06249","1"
"18606","06250","6"
"18728","06251","1"
"18746","06254","8"
"18869","06255","2"
"18957","06256","12"
"19124","06258","1"
"19166","06259","5"
"19255","06260","34"
"19678","06266","1"
"19786","06268","11"
"19929","06269","1"
"19955","06277","2"
"20017","06278","3"
"20068","06279","5"
"20163","06281","2"
"20233","06320","51"
"20691","06330","1"
"20733","06331","5"
"20836","06333","10"
"20994","06334","3"
"21068","06335","2"
"21161","06339","5"
"21254","06340","54"
"21749","06349","1"
"21780","06351","25"
"22125","06353","3"
"22188","06354","6"
"22292","06355","34"
"22793","06357","17"
"23081","06359","5"
"23140","06360","55"
"23619","06365","6"
"23714","06370","4"
"23820","06371","10"
"24055","06374","19"
"24246","06375","4"
"24375","06378","6"
"24589","06379","8"
"24785","06380","4"
"24881","06382","31"
"25211","06384","2"
"25249","06385","85"
"25811","06389","1"
"25830","06401","24"
"26137","06403","5"
"26213","06405","73"
"26779","06408","1"
"26797","06409","3"
"26891","06410","39"
"27312","06412","3"
"27439","06413","63"
"27904","06415","28"
"28221","06416","23"
"28547","06417","9"
"28741","06418","25"
"29078","06419","4"
"29161","06420","3"
"29281","06422","6"
"29437","06423","1"
"29488","06424","16"
"29695","06426","7"
"29846","06437","28"
"30316","06438","4"
"30385","06440","1"
"30402","06441","3"
"30489","06442","1"
"30556","06443","23"
"30950","06447","5"
"31068","06450","63"
"31591","06451","38"
"32036","06455","3"
"32140","06457","48"
"32653","06460","155"
"33362","06461","2"
"33440","06467","1"
"33473","06468","33"
"33865","06469","5"
"33930","06470","23"
"34254","06471","11"
"34451","06472","8"
"34566","06473","71"
"35134","06475","49"
"35590","06477","57"
"36117","06478","12"
"36290","06479","7"
"36495","06480","21"
"36774","06482","3"
"36868","06483","16"
"37088","06484","49"
"37514","06488","35"
"37913","06489","63"
"38429","06492","74"
"39005","06498","31"
"39327","06510","9"
"39658","06511","53"
"40108","06512","36"
"40418","06513","35"
"40762","06514","60"
"41218","06515","11"
"41517","06516","54"
"41934","06517","14"
"42151","06518","20"
"42480","06519","14"
"42787","06525","7"
"42960","06530","1"
"42975","06531","1"
"42990","06534","1"
"43005","06536","1"
"43020","06601","1"
"43035","06602","1"
"43059","06604","22"
"43389","06605","16"
"43652","06606","34"
"44036","06607","3"
"44117","06608","7"
"44251","06610","26"
"44583","06611","67"
"45041","06612","1"
"45081","06614","38"
"45473","06615","25"
"45816","06701","2"
"45835","06702","27"
"46210","06704","31"
"46651","06705","56"
"47140","06706","36"
"47552","06708","32"
"47878","06710","2"
"47955","06712","6"
"48128","06716","12"
"48361","06721","3"
"48412","06723","1"
"48430","06750","5"
"48545","06751","4"
"48615","06752","1"
"48661","06754","2"
"48774","06756","2"
"48855","06757","7"
"49057","06759","21"
"49347","06762","9"
"49518","06763","1"
"49594","06770","34"
"49922","06776","50"
"50395","06777","4"
"50509","06779","13"
"50721","06782","2"
"50852","06784","1"
"50904","06786","10"
"50996","06787","13"
"51185","06790","82"
"51762","06791","2"
"51867","06794","4"
"51970","06795","26"
"52277","06798","22"
"52567","06801","25"
"52947","06804","50"
"53385","06807","11"
"53640","06810","190"
"54374","06811","44"
"54799","06812","7"
"54926","06813","3"
"54979","06817","1"
"54998","06820","41"
"55465","06824","54"
"55942","06825","62"
"56434","06829","2"
"56465","06830","117"
"57081","06831","7"
"57256","06836","3"
"57284","06840","41"
"57725","06850","26"
"58098","06851","71"
"58647","06853","5"
"58716","06854","62"
"59221","06855","12"
"59393","06856","1"
"59416","06870","10"
"59609","06877","45"
"60103","06878","17"
"60312","06880","118"
"60939","06881","3"
"60979","06883","4"
"61050","06890","9"
"61183","06896","1"
"61255","06897","29"
"61628","06901","50"
"62017","06902","86"
"62528","06903","6"
"62672","06905","56"
"63093","06906","14"
"63296","06907","7"
"63521","06920","1"
"63540","19701","47"
"63957","19702","137"
"64587","19703","31"
"64921","19706","2"
"64973","19707","24"
"65283","19708","1"
"65312","19709","48"
"65747","19711","75"
"66345","19713","53"
"66777","19717","1"
"66811","19720","108"
"67411","19730","1"
"67451","19733","1"
"67481","19734","5"
"67602","19801","27"
"68063","19802","26"
"68378","19803","108"
"68945","19804","28"
"69316","19805","43"
"69736","19806","22"
"69968","19807","16"
"70262","19808","85"
"70838","19809","5"
"71069","19810","27"
"71446","19901","129"
"72146","19903","5"
"72186","19904","37"
"72629","19930","12"
"72936","19933","8"
"73081","19934","22"
"73342","19936","2"
"73370","19938","5"
"73431","19939","5"
"73588","19940","24"
"73841","19941","2"
"73872","19943","11"
"74045","19944","9"
"74267","19945","2"
"74377","19946","1"
"74440","19947","29"
"74780","19950","4"
"74931","19951","3"
"74995","19952","17"
"75233","19953","2"
"75341","19955","1"
"75359","19956","25"
"75667","19958","40"
"76190","19960","1"
"76240","19962","3"
"76358","19963","70"
"76796","19964","1"
"76830","19966","43"
"77216","19967","4"
"77302","19968","17"
"77513","19970","12"
"77778","19971","136"
"78445","19973","49"
"78960","19975","27"
"79221","19977","40"
"79504","19979","1"
"79519","19980","2"
"79550","20001","29"
"79956","20002","61"
"80478","20003","25"
"80806","20004","22"
"81076","20005","31"
"81427","20006","13"
"81648","20007","110"
"82205","20008","25"
"82485","20009","46"
"82915","20010","27"
"83227","20011","21"
"83513","20012","9"
"83667","20015","30"
"84008","20016","38"
"84361","20017","5"
"84525","20018","27"
"84834","20019","21"
"85063","20020","24"
"85308","20024","9"
"85461","20032","16"
"85683","20036","54"
"86067","20037","20"
"86272","20052","1"
"86308","20057","1"
"86361","20090","1"
"86401","20223","1"
"86569","32003","25"
"86981","32008","8"
"87129","32011","13"
"87352","32024","22"
"87541","32025","32"
"87963","32034","50"
"88544","32038","4"
"88633","32040","4"
"88755","32041","1"
"88774","32043","34"
"89085","32044","2"
"89136","32046","5"
"89277","32050","2"
"89329","32052","12"
"89511","32053","4"
"89580","32054","10"
"89788","32055","74"
"90331","32058","4"
"90407","32059","2"
"90468","32060","24"
"90701","32062","1"
"90720","32063","23"
"91037","32064","24"
"91381","32065","39"
"91792","32066","10"
"91920","32067","1"
"91939","32068","37"
"92278","32071","2"
"92309","32073","119"
"93013","32080","17"
"93372","32081","1"
"93424","32082","26"
"93834","32083","2"
"93865","32084","84"
"94584","32085","4"
"94639","32086","72"
"95208","32087","1"
"95239","32091","29"
"95580","32092","56"
"95951","32094","3"
"96005","32095","15"
"96202","32096","6"
"96252","32097","28"
"96575","32102","3"
"96664","32110","20"
"96971","32112","10"
"97140","32113","5"
"97258","32114","130"
"97966","32115","2"
"98009","32117","62"
"98500","32118","29"
"98917","32119","46"
"99360","32120","1"
"99384","32121","1"
"99402","32124","12"
"99570","32127","43"
"100014","32128","15"
"100298","32129","11"
"100548","32130","3"
"100620","32131","11"
"100768","32132","13"
"101026","32134","5"
"101122","32135","1"
"101140","32136","8"
"101326","32137","49"
"101805","32140","2"
"101849","32141","9"
"102056","32145","7"
"102169","32148","12"
"102319","32159","61"
"102815","32162","26"
"103167","32164","19"
"103451","32168","35"
"103937","32169","12"
"104197","32170","1"
"104216","32174","75"
"104901","32175","1"
"104932","32176","10"
"105203","32177","58"
"105753","32179","5"
"105856","32180","6"
"106041","32181","1"
"106078","32182","1"
"106136","32187","5"
"106209","32189","3"
"106241","32190","1"
"106269","32192","4"
"106313","32193","1"
"106343","32195","3"
"106448","32202","8"
"106684","32203","1"
"106739","32204","26"
"107076","32205","76"
"107677","32206","16"
"107926","32207","58"
"108549","32208","32"
"108959","32209","14"
"109198","32210","88"
"109876","32211","45"
"110343","32212","1"
"110394","32214","1"
"110413","32216","70"
"110982","32217","27"
"111451","32218","88"
"112039","32219","16"
"112203","32220","8"
"112335","32221","28"
"112607","32222","15"
"112875","32223","46"
"113329","32224","35"
"113641","32225","138"
"114260","32226","12"
"114469","32229","4"
"114500","32233","18"
"114855","32234","6"
"114969","32239","1"
"114988","32244","66"
"115433","32245","1"
"115464","32246","136"
"116102","32250","77"
"116693","32254","38"
"117054","32256","151"
"117713","32257","44"
"118193","32258","13"
"118427","32259","23"
"118704","32266","12"
"118950","32277","16"
"119181","32301","139"
"119892","32302","1"
"119920","32303","77"
"120615","32304","68"
"121041","32305","18"
"121240","32306","2"
"121267","32307","1"
"121286","32308","53"
"121762","32309","10"
"122002","32310","11"
"122217","32311","13"
"122396","32312","32"
"122872","32314","1"
"122935","32317","5"
"123041","32320","11"
"123259","32321","5"
"123357","32322","3"
"123464","32324","4"
"123544","32326","2"
"123575","32327","21"
"123881","32328","11"
"124077","32329","1"
"124092","32330","3"
"124120","32331","5"
"124206","32332","1"
"124261","32333","12"
"124513","32334","2"
"124549","32336","3"
"124598","32340","18"
"124881","32343","8"
"124961","32344","13"
"125175","32346","5"
"125272","32347","16"
"125546","32348","17"
"125828","32351","26"
"126173","32352","1"
"126220","32353","1"
