"","GEO.id2","ESTAB"
"779","06010","8"
"1388","06013","1"
"2147","06023","1"
"2700","06032","6"
"3241","06033","2"
"3943","06037","2"
"4424","06040","3"
"5092","06042","2"
"5685","06051","4"
"6115","06053","1"
"6370","06057","1"
"6516","06062","2"
"7030","06066","5"
"7547","06067","1"
"8017","06069","1"
"8156","06070","2"
"8459","06071","1"
"8674","06073","1"
"8758","06074","1"
"9264","06076","1"
"9712","06082","3"
"10722","06088","1"
"11770","06098","1"
"12026","06103","2"
"12243","06105","1"
"12447","06106","4"
"12923","06107","1"
"13284","06108","5"
"13680","06109","2"
"14125","06110","3"
"14595","06111","1"
"15081","06112","4"
"15278","06114","2"
"16157","06119","1"
"16415","06120","1"
"17714","06239","1"
"17998","06241","1"
"18540","06249","2"
"18603","06250","1"
"18866","06255","1"
"19163","06259","1"
"19251","06260","1"
"19738","06267","1"
"19783","06268","1"
"19953","06277","1"
"20161","06281","1"
"20229","06320","2"
"21065","06335","1"
"21250","06340","2"
"21776","06351","2"
"22288","06355","5"
"22789","06357","1"
"23136","06360","2"
"24052","06374","1"
"24371","06378","2"
"24585","06379","1"
"24877","06382","2"
"25245","06385","6"
"25826","06401","1"
"26209","06405","5"
"26794","06409","1"
"26887","06410","1"
"27308","06412","2"
"27435","06413","3"
"27900","06415","3"
"28217","06416","3"
"28543","06417","3"
"28737","06418","1"
"29157","06420","1"
"29484","06424","1"
"29691","06426","1"
"29842","06437","2"
"30552","06443","3"
"31064","06450","2"
"31587","06451","5"
"32136","06457","7"
"32649","06460","8"
"33926","06470","2"
"34250","06471","1"
"34562","06473","5"
"35130","06475","5"
"35586","06477","1"
"36491","06480","2"
"36864","06483","2"
"37084","06484","1"
"37909","06489","1"
"38425","06492","2"
"39001","06498","1"
"39323","06510","4"
"39654","06511","3"
"40104","06512","1"
"40414","06513","2"
"40758","06514","2"
"41214","06515","1"
"41513","06516","4"
"42147","06518","1"
"43055","06604","4"
"43385","06605","1"
"43648","06606","2"
"44113","06608","1"
"44247","06610","2"
"44579","06611","1"
"45077","06614","3"
"45469","06615","1"
"45831","06702","5"
"46206","06704","1"
"46647","06705","2"
"47136","06706","4"
"47548","06708","5"
"47951","06712","1"
"48124","06716","1"
"48543","06751","1"
"48657","06754","1"
"48851","06757","1"
"49053","06759","2"
"49918","06776","2"
"50491","06778","1"
"50719","06782","1"
"50992","06787","1"
"51181","06790","6"
"51759","06791","2"
"51966","06795","1"
"52273","06798","1"
"52563","06801","4"
"52943","06804","2"
"53381","06807","1"
"53636","06810","7"
"54370","06811","2"
"54796","06812","1"
"54994","06820","2"
"55461","06824","4"
"55938","06825","2"
"56461","06830","5"
"57280","06840","4"
"57721","06850","1"
"58094","06851","3"
"58712","06854","3"
"59412","06870","1"
"59605","06877","2"
"60100","06878","1"
"60308","06880","4"
"60978","06883","1"
"61181","06896","1"
"61251","06897","1"
"61624","06901","1"
"62013","06902","5"
"62525","06903","3"
"62668","06905","1"
"63089","06906","1"
"63292","06907","1"
"63536","19701","3"
"63953","19702","2"
"64583","19703","2"
"64969","19707","2"
"65282","19708","1"
"65308","19709","1"
"65743","19711","8"
"66341","19713","4"
"66807","19720","7"
"67598","19801","8"
"68059","19802","1"
"68374","19803","7"
"68941","19804","1"
"69312","19805","3"
"69732","19806","2"
"69964","19807","4"
"70258","19808","2"
"70834","19809","5"
"71065","19810","5"
"71442","19901","7"
"72182","19904","2"
"72625","19930","5"
"73077","19934","1"
"73428","19939","1"
"73868","19943","1"
"74041","19944","1"
"74263","19945","1"
"74436","19947","1"
"74776","19950","2"
"74930","19951","2"
"75300","19954","1"
"75663","19958","4"
"76354","19963","3"
"76826","19966","1"
"77298","19968","1"
"77509","19970","3"
"77774","19971","7"
"78441","19973","2"
"78956","19975","2"
"79217","19977","2"
"79546","20001","3"
"79952","20002","4"
"80474","20003","1"
"80802","20004","1"
"81072","20005","2"
"81644","20007","5"
"82201","20008","2"
"82481","20009","3"
"82911","20010","2"
"83223","20011","3"
"83663","20015","2"
"84004","20016","1"
"84521","20018","2"
"84830","20019","2"
"85059","20020","2"
"85304","20024","1"
"85458","20032","3"
"86063","20037","3"
"86386","20220","1"
"86565","32003","1"
"87125","32011","2"
"87348","32024","1"
"87537","32025","3"
"87922","32033","1"
"87959","32034","7"
"88542","32038","1"
"88630","32040","1"
"88770","32043","3"
"89132","32046","2"
"89325","32052","1"
"89784","32055","1"
"90464","32060","1"
"90716","32063","3"
"91033","32064","2"
"91377","32065","10"
"91935","32068","1"
"92305","32073","4"
"93009","32080","6"
"93370","32081","1"
"93420","32082","4"
"93861","32084","20"
"94583","32085","1"
"94635","32086","6"
"95576","32092","1"
"95950","32094","1"
"96248","32097","1"
"96660","32110","4"
"96967","32112","1"
"97136","32113","1"
"97254","32114","8"
"98005","32117","4"
"98496","32118","6"
"98913","32119","1"
"99566","32127","3"
"100010","32128","2"
"100294","32129","4"
"100764","32132","2"
"101137","32136","4"
"101322","32137","4"
"101845","32141","3"
"102315","32159","1"
"102811","32162","2"
"103148","32163","1"
"103163","32164","1"
"103447","32168","6"
"103933","32169","4"
"104212","32174","7"
"104928","32176","5"
"105199","32177","7"
"105853","32180","4"
"106444","32202","2"
"106735","32204","7"
"107072","32205","6"
"107673","32206","1"
"107922","32207","10"
"108545","32208","2"
"108955","32209","3"
"109194","32210","13"
"109872","32211","6"
"110340","32212","1"
"110409","32216","5"
"110978","32217","6"
"111447","32218","3"
"112035","32219","1"
"112331","32221","1"
"112604","32222","1"
"112871","32223","3"
"113325","32224","1"
"113637","32225","7"
"114256","32226","1"
"114496","32233","6"
"114984","32244","3"
"115460","32246","4"
"116098","32250","2"
"116689","32254","2"
"117050","32256","5"
"117709","32257","4"
"118190","32258","1"
"118423","32259","1"
"118946","32277","1"
"119177","32301","14"
"119916","32303","9"
"120611","32304","1"
"121037","32305","1"
"121282","32308","5"
"121758","32309","1"
"122213","32311","1"
"122392","32312","6"
"122932","32317","1"
"123571","32327","1"
"123877","32328","3"
"124594","32340","3"
"124879","32343","1"
"124957","32344","1"
"125268","32347","3"
"125542","32348","2"
"125824","32351","5"
"126170","32352","1"
"126456","32399","1"
"126484","32401","6"
"127124","32404","1"
"127521","32405","5"
"128195","32407","1"
"128570","32408","3"
"128949","32410","1"
"129005","32413","1"
"129448","32420","1"
"129596","32424","3"
"129813","32425","2"
"130101","32428","3"
"130538","32433","3"
"130794","32435","2"
"131436","32444","1"
"131793","32446","2"
"132443","32456","2"
"132693","32459","3"
"133437","32465","1"
"133602","32501","3"
"133969","32502","1"
"134236","32503","3"
"134746","32504","6"
"135373","32505","8"
"135975","32506","2"
"136372","32507","3"
"136866","32514","1"
"137321","32526","5"
"137724","32533","3"
"137976","32534","1"
"138546","32536","6"
"139040","32539","2"
"139220","32540","1"
"139287","32541","5"
"140029","32544","1"
"140103","32547","7"
"140569","32548","7"
"141626","32561","2"
"141923","32563","2"
"142270","32565","3"
"142419","32566","2"
"142805","32569","3"
"143163","32570","1"
"143537","32571","10"
"143982","32577","1"
"144088","32578","5"
"144493","32579","1"
"144677","32583","2"
"144897","32601","4"
"145509","32605","7"
"146031","32606","4"
"146457","32607","1"
"147298","32609","6"
"147894","32615","3"
"148249","32617","1"
"148523","32621","1"
"148754","32626","5"
"149105","32628","2"
"149388","32641","1"
"149563","32643","4"
"149928","32653","3"
"150178","32656","1"
"150418","32664","1"
"150572","32667","2"
"150728","32669","1"
"150988","32680","2"
"151607","32696","1"
"151873","32701","6"
"152502","32703","10"
"153116","32707","4"
"153604","32708","1"
"153993","32709","1"
"154043","32712","6"
"154326","32713","1"
"154538","32714","5"
"155125","32720","4"
"155703","32721","1"
"155733","32724","6"
"156055","32725","4"
"156365","32726","2"
"156796","32730","1"
"157189","32736","2"
"157316","32738","3"
"157534","32744","2"
"157593","32746","9"
"158119","32750","12"
"158708","32751","11"
"159112","32754","1"
"159339","32757","7"
"159923","32763","6"
"160538","32765","15"
"161196","32766","1"
"161332","32771","11"
"162112","32773","5"
"162852","32778","2"
"163214","32779","6"
"163544","32780","4"
"164214","32789","7"
"164921","32791","1"
"164936","32792","5"
"165495","32796","2"
"165825","32798","1"
"166272","32803","9"
"166954","32804","9"
"167489","32805","5"
"167892","32806","6"
"168422","32807","8"
"168969","32808","9"
"169502","32809","11"
"170260","32810","5"
"170690","32811","5"
"171586","32817","3"
"172012","32818","6"
"172377","32819","10"
"173094","32820","2"
"173263","32821","1"
"173626","32822","3"
"174065","32824","2"
"174604","32826","1"
"175079","32828","5"
"175596","32829","2"
"176179","32835","4"
"176511","32836","3"
"176746","32837","16"
