"","Group.1","x"
"1","06001",373
"2","06002",147
"3","06010",200
"4","06011",1
"5","06013",112
"6","06018",261
"7","06019",306
"8","06022",1
"9","06023",214
"10","06024",1
"11","06026",1
"12","06029",439
"13","06030",1
"14","06031",2
"15","06032",532
"16","06033",406
"17","06035",576
"18","06037",296
"19","06039",2
"20","06040",373
"21","06042",136
"22","06043",215
"23","06050",1
"24","06051",103
"25","06052",214
"26","06053",587
"27","06057",113
"28","06061",1
"29","06062",36
"30","06063",215
"31","06064",1
"32","06066",428
"33","06067",598
"34","06068",326
"35","06069",113
"36","06070",69
"37","06071",294
"38","06073",1
"39","06074",91
"40","06075",1
"41","06076",587
"42","06078",113
"43","06081",1
"44","06082",255
"45","06084",576
"46","06085",214
"47","06088",406
"48","06089",1
"49","06093",214
"50","06095",271
"51","06096",294
"52","06098",428
"53","06101",1
"54","06103",326
"55","06105",520
"56","06106",192
"57","06107",36
"58","06108",351
"59","06109",373
"60","06110",340
"61","06111",440
"62","06112",474
"63","06114",417
"64","06117",564
"65","06118",25
"66","06119",318
"67","06120",576
"68","06131",1
"69","06226",216
"70","06231",1
"71","06232",113
"72","06234",306
"73","06235",1
"74","06237",113
"75","06238",283
"76","06239",372
"77","06241",261
"78","06243",2
"79","06247",1
"80","06248",508
"81","06249",1
"82","06250",214
"83","06254",261
"84","06255",224
"85","06256",215
"86","06258",1
"87","06259",2
"88","06260",317
"89","06262",1
"90","06264",2
"91","06266",1
"92","06267",1
"93","06268",326
"94","06277",1
"95","06278",1
"96","06279",112
"97","06320",362
"98","06330",113
"99","06331",113
"100","06333",474
"101","06334",112
"102","06335",1
"103","06339",2
"104","06340",137
"105","06349",1
"106","06351",587
"107","06353",1
"108","06354",283
"109","06355",259
"110","06357",610
"111","06360",170
"112","06365",215
"113","06370",113
"114","06371",554
"115","06372",1
"116","06373",1
"117","06374",496
"118","06375",113
"119","06378",283
"120","06379",496
"121","06380",2
"122","06382",554
"123","06385",544
"124","06401",439
"125","06403",1
"126","06405",266
"127","06409",1
"128","06410",621
"129","06412",215
"130","06413",207
"131","06415",508
"132","06416",417
"133","06417",261
"134","06418",576
"135","06419",1
"136","06420",261
"137","06422",215
"138","06423",1
"139","06424",326
"140","06426",113
"141","06437",48
"142","06438",214
"143","06441",214
"144","06442",113
"145","06443",340
"146","06444",1
"147","06447",428
"148","06450",181
"149","06451",70
"150","06455",215
"151","06456",1
"152","06457",241
"153","06460",409
"154","06461",1
"155","06468",306
"156","06469",1
"157","06470",565
"158","06471",283
"159","06472",1
"160","06473",181
"161","06475",473
"162","06477",484
"163","06478",215
"164","06479",554
"165","06480",508
"166","06481",1
"167","06482",113
"168","06483",542
"169","06484",407
"170","06488",384
